lambda=1,lambda=2,lambda=3,lambda=4
307.053903575993,540.999954600070,768.999998776391,995.499999988664
306.934067594423,540.777607684825,768.666664105140,995.055555531446
306.589214265512,540.110757077125,767.666661900136,993.722222174593
306.018807125103,538.999381011080,765.999991684713,991.499999910078
305.222222222222,537.443450556942,763.666652740765,988.388888724254
304.198734965308,535.442927403542,760.666643992311,984.388888594080
302.947505085052,532.997760980673,756.999963834729,979.499999480881
301.467559452856,530.107884730240,752.666609884878,973.722221320063
299.757772458567,526.773211280729,747.666578616256,967.055554004216
297.816843611113,522.993626210070,741.999864827328,959.499997355424
295.643271980317,518.768979993186,735.666460868128,951.055551079987
293.235327046798,514.099077616979,728.666355517086,941.722214694553
290.591015468696,508.983665200503,720.999532352378,931.499987405829
287.708043208100,503.422412772898,712.665967393632,920.388867915051
284.583772385524,497.414892125381,703.665625691589,908.388854100690
281.215172146361,490.960548352159,693.998456402388,895.499942504314
277.598762727786,484.058663310757,683.664385681248,881.722127498677
273.730551806532,476.708308742463,672.663306441098,867.055399943392
269.605962085700,468.908286169464,660.995063607836,851.499745015188
265.219748940554,460.657049890536,648.659432911916,835.055138709935
260.565906786848,451.952608385393,635.656090409704,817.721542209320
255.637562658425,442.792398150265,621.984568719117,799.498892817696
250.426855280897,433.173122349422,607.644194227707,780.387089394508
244.924797702213,423.090544584429,592.633997067673,760.385968959866
239.121121285424,412.539225434977,576.952582137791,739.495269156107
233.004098580236,401.512186059803,560.597944441394,717.714568061304
226.560342263626,390.000478870602,543.567204868105,695.043187762217
219.774576971116,377.992639861120,525.856232373753,671.480039973640
212.629380423745,365.473990277837,507.459104026479,647.023379038638
205.104889785252,352.425746564823,488.367333767049,621.670406994696
197.178468652447,338.823886405818,468.568771392058,595.416642486013
188.824329481503,324.637704591042,448.046031538268,568.254912892211
180.013105575023,309.827974556385,426.774253112555,540.173745602650
170.711365989288,294.344608768072,404.717905277789,511.154801575441
160.881065856949,278.123682377410,381.826236275798,481.168783079432
150.478923644799,261.083648129023,358.026791158970,450.168911607051
139.455715765028,243.120524323727,333.216182804042,418.080537986123
127.755477715415,224.101779122323,307.246957471288,384.784598243184
115.314599521113,203.858560351197,279.908909237514,350.091280983297
102.060801667719,182.175826088858,250.902506774598,313.698131822896
87.9119759291271,158.779812432004,219.801116028311,275.123422903417
72.7748734784056,133.322124332348,185.997312788714,233.600223790858
56.5436203963921,105.359544882230,148.626609176913,187.908056138643
39.0980381280445,74.3284173177051,106.459125953733,136.105447640815
20.3017435437394,39.5121489181819,57.7457860938780,75.1051892373550
