lambda=1,lambda=2,lambda=3,lambda=4
313.347528775476,483.126770651945,638.877919128526,791.666103447200
312.976553293300,482.974844989864,638.695460204592,791.425935052750
312.459810093055,482.578136253736,638.152458061081,790.705716744088
311.795301496484,481.935943755711,637.248794072405,789.505433832648
310.980881295814,481.047465887956,635.984323951286,787.825067333832
310.014244023286,479.911785778689,634.358872240790,785.664592717153
308.892913461564,478.527854931096,632.372225631949,783.023978294407
307.614230342157,476.894474563930,630.024124857942,779.903183141485
306.175339175372,475.010274333717,627.314254863308,776.302154419405
304.573174151433,472.873688074192,624.242232883074,772.220823921547
302.804444048251,470.482926138268,620.807593989755,767.659103624425
300.865616076896,467.835943870563,617.009773573126,762.616879955445
298.752898591125,464.930405673406,612.848086105107,757.094006408988
296.462222582221,461.763644055174,608.321699405891,751.090294036519
293.989221875063,458.332612965608,603.429603462817,744.605499200698
291.329211935545,454.633834627013,598.170572654287,737.639307808891
288.477167193329,450.663338961388,592.543119990245,730.191315017176
285.427696777370,446.416594589784,586.545441689553,722.260999107637
282.175018554617,441.888430239486,580.175350062594,713.847687871255
278.712931354816,437.072945234723,573.430192241949,704.950515352718
275.034785256364,431.963407564834,566.306751789619,695.568366201897
271.133449799620,426.552137817228,558.801129587672,685.699804091203
267.001279984972,420.830377027703,550.908599667925,675.342979648972
262.630079903246,414.788136233864,542.623434728462,664.495512063146
258.011063835646,408.414025214214,533.938694987904,653.154336845309
253.134814649350,401.695057550952,524.845972703022,641.315510108305
247.991239303055,394.616428763114,515.335083074242,628.973956967023
242.569521264123,387.161263811943,505.393690329466,616.123148149768
236.858069625522,379.310329775143,495.006855440415,602.754684386278
230.844464696362,371.041708912733,484.156489104003,588.857762335029
224.515399824454,362.330426695184,472.820690213403,574.418488364232
217.856619192969,353.148028624009,460.972945928090,559.418996942360
210.852851315728,343.462098833726,448.581164482644,543.836318128559
203.487737937038,333.235712508822,435.606505873704,527.640922915423
195.743758022018,322.426813064274,422.001968319800,510.794854985234
187.602146502118,310.987503806023,407.710679642462,493.249331537687
179.042807417834,298.863242388545,392.663832158520,474.941662619377
170.044221076399,285.991924797746,376.778186928233,455.791295765137
160.583344816377,272.302843783315,359.953057819946,435.694738098143
150.635506943534,257.715504616176,342.066667284337,414.519037931933
140.174293372876,242.138278721007,322.971743322577,392.093418018650
129.171426480400,225.466873093370,302.490200089933,368.198537313056
117.596635634541,207.582590413498,280.406711943402,342.552710319101
105.417518841568,188.350351366009,256.460951365485,314.794223590331
92.5993949010139,167.616446812192,230.338213685918,284.458646023445
79.1051454265308,145.205983077035,201.658094201960,250.949718169283
64.8950460441069,120.919978636657,169.960814144130,213.502006609238
49.9265860332557,94.5320648434039,134.690708510268,171.132997810099
34.1542756273424,65.7847369153980,95.1762881575336,122.581650137714
17.5294401364604,34.3850941419555,50.6061671562488,66.2295823510438
