lambda=1,lambda=2,lambda=3,lambda=4
535.636124402953,892.857065643762,1245.23809516588,1596.42857142851
535.482280977910,892.577038493376,1244.81809512588,1595.86857142845
535.046042000234,891.737001858863,1243.55809506379,1594.18857142836
534.327000107531,890.336952445864,1241.45809496747,1591.38857142819
533.324679602503,888.376885821274,1238.51809481807,1587.46857142789
532.038525114199,885.856796021291,1234.73809458645,1582.42857142736
530.467888394591,882.776675025059,1230.11809422748,1576.26857142641
528.612012946096,879.136512047977,1224.65809367129,1568.98857142472
526.470016126311,874.936292593080,1218.35809280981,1560.58857142171
524.040868318876,870.175997177942,1211.21809147590,1551.06857141635
521.323368692829,864.855599626445,1203.23808941104,1540.42857140680
518.316116995487,858.975064777126,1194.41808621563,1528.66857138981
515.017480734146,852.534345409441,1184.75808127200,1515.78857135956
511.425556997705,845.533378121778,1174.25807362570,1501.78857130574
507.538128048378,837.972077804711,1162.91806180224,1486.66857121003
503.352609673222,829.850330232070,1150.73804352416,1470.42857103982
498.865991122352,821.167982130480,1137.71801527456,1453.06857073723
494.074765271532,811.924827871412,1123.85797162370,1434.58857019941
488.974847427461,802.120591639877,1109.15790419028,1414.98856924371
483.561480939404,791.754903546012,1093.61780003952,1394.26856754582
477.829127485426,780.827267626931,1077.23763921318,1372.42856453002
471.771339558697,769.337018992078,1060.01739092155,1349.46855917442
465.380612281731,757.283266437008,1041.95700767374,1325.38854966561
458.648211215152,744.664815608993,1023.05641623140,1300.18853278613
451.563972292588,731.480066147743,1003.31550366898,1273.86850282836
444.116069392686,717.726874004921,982.734095896641,1246.42844966901
436.290744339611,703.402367178722,961.311924575320,1217.86835535599
428.071993288726,688.502699133191,939.048576157535,1188.18818805921
419.441202486307,673.022718870123,915.943413408258,1157.38789135114
410.376725269889,656.955529535652,891.995454560797,1125.46736521407
400.853390874611,640.291897974767,867.203187263007,1092.42643239362
390.841934102290,623.019464994549,841.564282163183,1058.26477880082
380.308333160928,605.121689192361,815.075152056402,1022.98184796063
369.213040954860,586.576434621427,787.730273400064,986.576654098806
357.510092755418,567.354082398264,759.521142238216,949.047451194566
345.146070457750,547.415006060666,730.434667734461,910.391147081049
332.058900471881,526.706196666429,700.450700672097,870.602266314439
318.176458636560,505.156751749726,669.538231565853,829.671114517504
303.414951303341,482.671846275332,637.649542907020,787.580529767966
287.677036823526,459.124675578249,604.711215615685,744.300134107889
270.849645975391,434.345689174784,570.610298919077,699.776162615736
252.801453269896,408.108205905511,535.173044881704,653.913469764352
233.379943426833,380.109195939784,498.132213587237,606.543699883666
212.408008454374,349.943608143837,459.076811258182,557.368988858779
189.680000501463,317.070078047730,417.374830153704,505.862397243193
164.957153762367,280.765126593535,372.054499718852,451.091838324871
137.962274938868,240.061992251113,321.621786962525,391.408747531968
108.373585810380,193.668947907824,263.779947556662,323.897641419925
75.8175829811883,139.860231084553,194.998597043276,243.403016663253
39.8607584681623,76.3304173450217,109.851619294785,140.809209157395
