lambda=1,lambda=2,lambda=3,lambda=4
402.145462519902,723.571425601683,1040.71428570995,1356.78571428571
401.988214751248,723.260311136815,1040.24761903829,1356.16349206348
401.519212446388,722.326972397396,1038.84761902889,1354.29682539680
400.738286955277,720.771408332126,1036.51428567827,1351.18571428566
399.645231084388,718.593617395718,1033.24761898037,1346.83015873004
398.239790899822,715.793597328350,1029.04761892474,1341.23015872990
396.521655863082,712.371344839953,1023.91428549340,1334.38571428517
394.490446970412,708.326855159212,1017.84761865561,1326.29682539571
392.145702503151,703.660121390614,1010.84761835908,1316.96349206120
389.486860920865,698.371133599485,1002.91428451517,1306.38571428108
386.513240339174,692.459877512117,994.047616974148,1294.56349205416
383.224013927196,685.926332671909,984.247615483945,1281.49682537814
379.618180432438,678.770469827585,973.514279621298,1267.18571424849
375.694528889897,670.992247238561,961.847608677334,1251.63015865630
371.451596392629,662.591605454976,949.247601467554,1234.83015858416
366.887617587888,653.568459951095,935.714256016831,1216.78571399807
362.000464309772,643.922690740532,921.247569037959,1197.49682483180
356.787573458846,633.654127751461,905.847535069619,1176.96349095653
351.245860882521,622.762530250172,889.514145053078,1155.18571212224
345.371618586853,611.247557916731,872.247383984944,1132.16348784439
339.160392108388,599.108730220176,854.047227050402,1107.89681718535
332.606834279370,586.345369405482,834.913633259787,1082.38569833323
325.704530913710,572.956520541308,814.846534986508,1055.63012779125
318.445793104262,558.940839478733,793.845820781964,1027.63009881903
310.821409830162,544.296435947961,771.911307171230,998.385598438365
302.820353397680,529.020653970890,749.042692401108,967.896601686751
294.429428845644,513.109764734207,725.239480649729,936.163060598141
285.632856797167,496.558537274608,700.500857922641,903.184883089939
276.411777286172,479.359638697154,674.825488976122,868.961892541116
266.743659774368,461.502796683066,648.211185229399,833.493750458501
256.601601836320,442.973630666369,620.654362042263,796.779808626114
245.953495749319,423.752021385572,592.149152278856,758.818826620599
234.761038389296,403.809837544821,562.685959289331,719.608432428278
222.978555295604,383.107767496545,532.249096059189,679.144093141358
210.551604398254,361.590905484591,500.812935381564,637.417151842476
197.415318549900,339.182605386615,468.335635025863,594.411085506424
183.492438493180,315.775925267323,434.748915172808,550.094375451480
168.690979011121,291.221722889273,399.941411902269,504.406930579651
152.901460505526,265.312097206478,363.731581506917,457.234245348935
135.993625831874,237.757364420339,325.823614757374,408.358234105132
117.812547542625,208.154054885395,285.735736087813,357.363731381083
98.1740133449322,175.940443518285,242.683634128584,303.460754446726
76.8590570807006,140.334776872507,195.391015234953,245.146768982707
53.6074783171743,100.249490033183,141.781827219384,179.565175771867
28.1101650224858,54.1721157716262,78.4804133420295,101.287228377309
