lambda=1,lambda=2,lambda=3,lambda=4
205.995741367357,355.012393760883,495.000000000000,632.499984639469
205.891281531434,354.875163562502,494.799698533850,632.233297234714
205.643545146871,354.469902938329,494.199263576825,631.433265255881
205.251340876753,353.796302136283,493.198650796055,630.099883769333
204.713360380890,352.853990787606,491.797802771440,628.233145875772
204.028167845561,351.642526916697,489.996645373721,625.833041969569
203.194188625715,350.161384049055,487.795083180252,622.899558728996
202.209696926996,348.409936098325,485.192993679932,619.432677742014
201.072802449213,346.387439661229,482.190219955822,615.432373639199
199.781435906579,344.093013288363,478.786561455449,610.898611560902
198.333333333333,341.525613228394,474.981762360689,605.831343726089
196.726019076110,338.684005061363,470.775496946747,600.230504790357
194.956787366551,335.566730541842,466.167351167099,594.096005573510
193.022682359250,332.172068862604,461.156799510897,587.427724593684
190.920476511021,328.497991421704,455.743175942184,580.225496653172
188.646647167634,324.542109027782,449.925637434700,572.489097464593
186.197351213665,320.301610306703,443.703118248148,564.218222963234
183.568397629644,315.773189873645,437.074272633640,555.412461493524
180.755217788455,310.952964604134,430.037403086066,546.071256446377
177.752833309715,305.836376070346,422.590370552011,536.193856108475
174.555821276582,300.418076899513,414.730482120037,525.779246396776
171.158276604118,294.691798452800,406.454350623941,514.826060701344
167.553771331765,288.650196807994,397.757719227236,503.332459127050
163.735310594704,282.284673548771,388.635242364459,491.295966850658
159.695285009635,275.585167307116,379.080212312617,478.713257882318
155.425419189861,268.539911361641,369.084218055563,465.579865958657
150.916716082295,261.135151849644,358.636719863479,451.889798225042
146.159396794985,253.354820288819,347.724518987846,437.635019291730
141.142835557977,245.180153107479,336.331096882222,422.804762515082
135.855489432448,236.589249728935,324.435792169255,407.384611088295
130.284822353142,227.556559421986,312.012775897928,391.355272569454
124.417223056852,218.052285587359,299.029776117236,374.690945293682
118.237916414951,208.041694367027,285.446490994283,357.357141677111
111.730867650608,197.484312402326,271.212615082899,339.307789027482
104.878678881023,186.332996184604,256.265385231361,320.481369557439
97.6624773817037,174.532852689144,240.526530173437,300.795783119680
90.0617949231106,162.019987801882,223.898480048046,280.141512479939
82.0544374797916,148.720055372953,206.259657668395,258.372533413777
73.6163445580422,134.546575484996,187.458630740438,235.294229566217
64.7214373299329,119.398985619443,167.306851470848,210.647330301430
55.3414546989059,103.160382739222,145.569644706285,184.086569438786
45.4457763547251,85.6949077643942,121.955024942388,155.152338343206
35.0012318030091,66.8447163631845,96.0998225681018,123.233044603860
23.9718942764988,46.4264712591301,67.5524760409349,87.5151429066955
12.3188583511833,24.2272811861020,35.7516937291375,46.9168187113327
